Todo;Código postal;Municipio
16047 Cañada Juncosa;16047; Cañada Juncosa
41901 Cañada Rosal;41901; Cañada Rosal
44062 Cañada Vellida;44062; Cañada Vellida
42050 Cañamaque;42050; Cañamaque
16048 Cañamares;16048; Cañamares
10044 Cañamero;10044; Cañamero
18040 Cáñar;18040; Cáñar
26040 Cañas;26040; Cañas
16049 Cañavate, El;16049; Cañavate, El
10045 Cañaveral;10045; Cañaveral
21020 Cañaveral de León;21020; Cañaveral de León
16050 Cañaveras;16050; Cañaveras
16051 Cañaveruelas;16051; Cañaveruelas
16052 Cañete;16052; Cañete
14014 Cañete de las Torres;14014; Cañete de las Torres
29035 Cañete la Real;29035; Cañete la Real
36009 Cañiza, A;36009; Cañiza, A
49034 Cañizal;49034; Cañizal
19066 Cañizar;19066; Cañizar
44063 Cañizar del Olivar;44063; Cañizar del Olivar
16053 Cañizares;16053; Cañizares
49035 Cañizo;49035; Cañizo
43039 Capafonts;43039; Capafonts
31065 Caparroso;31065; Caparroso
43040 Capçanes;43040; Capçanes
07014 Capdepera;07014; Capdepera
22079 Capdesaso;22079; Capdesaso
15018 Capela, A;15018; Capela, A
22080 Capella;22080; Capella
08044 Capellades;08044; Capellades
18042 Capileira;18042; Capileira
06030 Capilla;06030; Capilla
34045 Capillas;34045; Capillas
17042 Capmany;17042; Capmany
08045 Capolat;08045; Capolat
42051 Carabantes;42051; Carabantes
28035 Carabaña;28035; Carabaña
40161 Carabias;40161; Carabias
42052 Caracena;42052; Caracena
13030 Caracuel de Calatrava;13030; Caracuel de Calatrava
18043 Carataunas;18043; Carataunas
30015 Caravaca de la Cruz;30015; Caravaca de la Cruz
33013 Caravia;33013; Caravia
09070 Carazo;09070; Carazo
49036 Carbajales de Alba;49036; Carbajales de Alba
10046 Carbajo;10046; Carbajo
37085 Carbajosa de la Sagrada;37085; Carbajosa de la Sagrada
32018 Carballeda de Avia;32018; Carballeda de Avia
32017 Carballeda de Valdeorras;32017; Carballeda de Valdeorras
27009 Carballedo;27009; Carballedo
32019 Carballiño, O;32019; Carballiño, O
15019 Carballo;15019; Carballo
49037 Carbellino;49037; Carbellino
04032 Carboneras;04032; Carboneras
16055 Carboneras de Guadazaón;16055; Carboneras de Guadazaón
40043 Carbonero el Mayor;40043; Carbonero el Mayor
23021 Carboneros;23021; Carboneros
10047 Carcaboso;10047; Carcaboso
14015 Carcabuey;14015; Carcabuey
46083 Carcaixent;46083; Carcaixent
31066 Cárcar;31066; Cárcar
31067 Carcastillo;31067; Carcastillo
09071 Carcedo de Bureba;09071; Carcedo de Bureba
09072 Carcedo de Burgos;09072; Carcedo de Burgos
02020 Carcelén;02020; Carcelén
46084 Càrcer;46084; Càrcer
23901 Cárcheles;23901; Cárcheles
08046 Cardedeu;08046; Cardedeu
26041 Cárdenas;26041; Cárdenas
16056 Cardenete;16056; Cardenete
14016 Cardeña;14016; Cardeña
09073 Cardeñadijo;09073; Cardeñadijo
09074 Cardeñajimeno;09074; Cardeñajimeno
05049 Cardeñosa;05049; Cardeñosa
34046 Cardeñosa de Volpejera;34046; Cardeñosa de Volpejera
09075 Cardeñuela Riopico;09075; Cardeñuela Riopico
45035 Cardiel de los Montes;45035; Cardiel de los Montes
08047 Cardona;08047; Cardona
19067 Cardoso de la Sierra, El;19067; Cardoso de la Sierra, El
50072 Carenas;50072; Carenas
50073 Cariñena;50073; Cariñena
15901 Cariño;15901; Cariño
46085 Carlet;46085; Carlet
14017 Carlota, La;14017; Carlota, La
08048 Carme;08048; Carme
45036 Carmena;45036; Carmena
24037 Cármenes;24037; Cármenes
41024 Carmona;41024; Carmona
06031 Carmonita;06031; Carmonita
15020 Carnota;15020; Carnota
23024 Carolina, La;23024; Carolina, La
47035 Carpio;47035; Carpio
37086 Carpio de Azaba;37086; Carpio de Azaba
45037 Carpio de Tajo, El;45037; Carpio de Tajo, El
14018 Carpio, El;14018; Carpio, El
24038 Carracedelo;24038; Carracedelo
15021 Carral;15021; Carral
45038 Carranque;45038; Carranque
37087 Carrascal de Barregas;37087; Carrascal de Barregas
37088 Carrascal del Obispo;37088; Carrascal del Obispo
40044 Carrascal del Río;40044; Carrascal del Río
10048 Carrascalejo;10048; Carrascalejo
06032 Carrascalejo, El;06032; Carrascalejo, El
16057 Carrascosa;16057; Carrascosa
42053 Carrascosa de Abajo;42053; Carrascosa de Abajo
16058 Carrascosa de Haro;16058; Carrascosa de Haro
42054 Carrascosa de la Sierra;42054; Carrascosa de la Sierra
29036 Carratraca;29036; Carratraca
33014 Carreño;33014; Carreño
05051 Carrera, La;05051; Carrera, La
09076 Carrias;09076; Carrias
45039 Carriches;45039; Carriches
46086 Carrícola;46086; Carrícola
13031 Carrión de Calatrava;13031; Carrión de Calatrava
41025 Carrión de los Céspedes;41025; Carrión de los Céspedes
34047 Carrión de los Condes;34047; Carrión de los Condes
24039 Carrizo;24039; Carrizo
13032 Carrizosa;13032; Carrizosa
24040 Carrocera;24040; Carrocera
30016 Cartagena;30016; Cartagena
29037 Cartajima;29037; Cartajima
29038 Cártama;29038; Cártama
21021 Cartaya;21021; Cartaya
32020 Cartelle;32020; Cartelle
39018 Cartes;39018; Cartes
24041 Carucedo;24041; Carucedo
19070 Casa de Uceda;19070; Casa de Uceda
29039 Casabermeja;29039; Casabermeja
37089 Casafranca;37089; Casafranca
26042 Casalarreina;26042; Casalarreina
10049 Casar de Cáceres;10049; Casar de Cáceres
45040 Casar de Escalona, El;45040; Casar de Escalona, El
10050 Casar de Palomero;10050; Casar de Palomero
19071 Casar, El;19071; Casar, El
29040 Casarabonela;29040; Casarabonela
42055 Casarejos;42055; Casarejos
29041 Casares;29041; Casares
10051 Casares de las Hurdes;10051; Casares de las Hurdes
41026 Casariche;41026; Casariche
45041 Casarrubios del Monte;45041; Casarrubios del Monte
28036 Casarrubuelos;28036; Casarrubuelos
46087 Casas Altas;46087; Casas Altas
46088 Casas Bajas;46088; Casas Bajas
16060 Casas de Benítez;16060; Casas de Benítez
10052 Casas de Don Antonio;10052; Casas de Don Antonio
10053 Casas de Don Gómez;10053; Casas de Don Gómez
06033 Casas de Don Pedro;06033; Casas de Don Pedro
16061 Casas de Fernando Alonso;16061; Casas de Fernando Alonso
16062 Casas de Garcimolina;16062; Casas de Garcimolina
16063 Casas de Guijarro;16063; Casas de Guijarro
16064 Casas de Haro;16064; Casas de Haro
02021 Casas de Juan Núñez;02021; Casas de Juan Núñez
02022 Casas de Lázaro;02022; Casas de Lázaro
16065 Casas de los Pinos;16065; Casas de los Pinos
10056 Casas de Millán;10056; Casas de Millán
10057 Casas de Miravete;10057; Casas de Miravete
06034 Casas de Reina;06034; Casas de Reina
19073 Casas de San Galindo;19073; Casas de San Galindo
02023 Casas de Ves;02023; Casas de Ves
10054 Casas del Castañar;10054; Casas del Castañar
37090 Casas del Conde, Las;37090; Casas del Conde, Las
10055 Casas del Monte;10055; Casas del Monte
05052 Casas del Puerto;05052; Casas del Puerto
45042 Casasbuenas;45042; Casasbuenas
49038 Casaseca de Campeán;49038; Casaseca de Campeán
49039 Casaseca de las Chanas;49039; Casaseca de las Chanas
02024 Casas-Ibáñez;02024; Casas-Ibáñez
16066 Casasimarro;16066; Casasimarro
05053 Casasola;05053; Casasola
47036 Casasola de Arión;47036; Casasola de Arión
10058 Casatejada;10058; Casatejada
05054 Casavieja;05054; Casavieja
22081 Casbas de Huesca;22081; Casbas de Huesca
09077 Cascajares de Bureba;09077; Cascajares de Bureba
09078 Cascajares de la Sierra;09078; Cascajares de la Sierra
31068 Cascante;31068; Cascante
44064 Cascante del Río;44064; Cascante del Río
31069 Cáseda;31069; Cáseda
43041 Caseres;43041; Caseres
05055 Casillas;05055; Casillas
10059 Casillas de Coria;10059; Casillas de Coria
37091 Casillas de Flores;37091; Casillas de Flores
46089 Casinos;46089; Casinos
40045 Casla;40045; Casla
33015 Caso;33015; Caso
50074 Caspe;50074; Caspe
19074 Caspueñas;19074; Caspueñas
17044 Cassà de la Selva;17044; Cassà de la Selva
08049 Casserres;08049; Casserres
03053 Castalla;03053; Castalla
10060 Castañar de Ibor;10060; Castañar de Ibor
26043 Castañares de Rioja;26043; Castañares de Rioja
39019 Castañeda;39019; Castañeda
21022 Castaño del Robledo;21022; Castaño del Robledo
18044 Cástaras;18044; Cástaras
16067 Castejón;16067; Castejón
31070 Castejón;31070; Castejón
50075 Castejón de Alarba;50075; Castejón de Alarba
19075 Castejón de Henares;19075; Castejón de Henares
50076 Castejón de las Armas;50076; Castejón de las Armas
22083 Castejón de Monegros;22083; Castejón de Monegros
22084 Castejón de Sos;22084; Castejón de Sos
44065 Castejón de Tornos;44065; Castejón de Tornos
50077 Castejón de Valdejasa;50077; Castejón de Valdejasa
22082 Castejón del Puente;22082; Castejón del Puente
44066 Castel de Cabra;44066; Castel de Cabra
22085 Castelflorite;22085; Castelflorite
12037 Castell de Cabres;12037; Castell de Cabres
03054 Castell de Castells;03054; Castell de Castells
03075 Castell de Guadalest, el;03075; Castell de Guadalest, el
08057 Castell de l'Areny;08057; Castell de l'Areny
25904 Castell de Mur;25904; Castell de Mur
07064 Castell, Es;07064; Castell, Es
09079 Castellanos de Castro;09079; Castellanos de Castro
37092 Castellanos de Moriscos;37092; Castellanos de Moriscos
37185 Castellanos de Villiquera;37185; Castellanos de Villiquera
05056 Castellanos de Zapardiel;05056; Castellanos de Zapardiel
23025 Castellar;23025; Castellar
11013 Castellar de la Frontera;11013; Castellar de la Frontera
19076 Castellar de la Muela;19076; Castellar de la Muela
25064 Castellar de la Ribera;25064; Castellar de la Ribera
08052 Castellar de n'Hug;08052; Castellar de n'Hug
13033 Castellar de Santiago;13033; Castellar de Santiago
08050 Castellar del Riu;08050; Castellar del Riu
08051 Castellar del Vallès;08051; Castellar del Vallès
44070 Castellar, El;44070; Castellar, El
08053 Castellbell i el Vilar;08053; Castellbell i el Vilar
08054 Castellbisbal;08054; Castellbisbal
08055 Castellcir;08055; Castellcir
25067 Castelldans;25067; Castelldans
08056 Castelldefels;08056; Castelldefels
08058 Castellet i la Gornal;08058; Castellet i la Gornal
17046 Castellfollit de la Roca;17046; Castellfollit de la Roca
08060 Castellfollit de Riubregós;08060; Castellfollit de Riubregós
08059 Castellfollit del Boix;08059; Castellfollit del Boix
12038 Castellfort;12038; Castellfort
08061 Castellgalí;08061; Castellgalí
08062 Castellnou de Bages;08062; Castellnou de Bages
25068 Castellnou de Seana;25068; Castellnou de Seana
12039 Castellnovo;12039; Castellnovo
46257 Castelló;46257; Castelló
25069 Castelló de Farfanya;25069; Castelló de Farfanya
12040 Castelló de la Plana;12040; Castelló de la Plana
46090 Castelló de Rugat;46090; Castelló de Rugat
17047 Castelló d'Empúries;17047; Castelló d'Empúries
08063 Castellolí;08063; Castellolí
46091 Castellonet de la Conquesta;46091; Castellonet de la Conquesta
44071 Castellote;44071; Castellote
17048 Castell d'Aro, Platja d'Aro i s'Agaró;17048; Castell d'Aro, Platja d'Aro i s'Agaró
25070 Castellserà;25070; Castellserà
08064 Castellterçol;08064; Castellterçol
43042 Castellvell del Camp;43042; Castellvell del Camp
08065 Castellví de la Marca;08065; Castellví de la Marca
08066 Castellví de Rosanes;08066; Castellví de Rosanes
44067 Castelnou;44067; Castelnou
44068 Castelserás;44068; Castelserás
46092 Castielfabib;46092; Castielfabib
22086 Castiello de Jaca;22086; Castiello de Jaca
22087 Castigaleu;22087; Castigaleu
09083 Castil de Peones;09083; Castil de Peones
34048 Castil de Vela;34048; Castil de Vela
06035 Castilblanco;06035; Castilblanco
41027 Castilblanco de los Arroyos;41027; Castilblanco de los Arroyos
09082 Castildelgado;09082; Castildelgado
24042 Castilfalé;24042; Castilfalé
19078 Castilforte;19078; Castilforte
42056 Castilfrío de la Sierra;42056; Castilfrío de la Sierra
50078 Castiliscar;50078; Castiliscar
22088 Castillazuelo;22088; Castillazuelo
41028 Castilleja de Guzmán;41028; Castilleja de Guzmán
41029 Castilleja de la Cuesta;41029; Castilleja de la Cuesta
41030 Castilleja del Campo;41030; Castilleja del Campo
18045 Castilléjar;18045; Castilléjar
16068 Castillejo de Iniesta;16068; Castillejo de Iniesta
37096 Castillejo de Martín Viejo;37096; Castillejo de Martín Viejo
40046 Castillejo de Mesleón;40046; Castillejo de Mesleón
42058 Castillejo de Robledo;42058; Castillejo de Robledo
16070 Castillejo-Sierra;16070; Castillejo-Sierra
45043 Castillo de Bayuela;45043; Castillo de Bayuela
16072 Castillo de Garcimuñoz;16072; Castillo de Garcimuñoz
41031 Castillo de las Guardas, El;41031; Castillo de las Guardas, El
23026 Castillo de Locubín;23026; Castillo de Locubín
12041 Castillo de Villamalefa;12041; Castillo de Villamalefa
16071 Castillo-Albaráñez;16071; Castillo-Albaráñez
22089 Castillonroy;22089; Castillonroy
31071 Castillonuevo;31071; Castillonuevo
19079 Castilnuevo;19079; Castilnuevo
42057 Castilruiz;42057; Castilruiz
37097 Castraz;37097; Castraz
34049 Castrejón de la Peña;34049; Castrejón de la Peña
47037 Castrejón de Trabancos;47037; Castrejón de Trabancos
32022 Castrelo de Miño;32022; Castrelo de Miño
32021 Castrelo do Val;32021; Castrelo do Val
18046 Castril;18046; Castril
24043 Castrillo de Cabrera;24043; Castrillo de Cabrera
34050 Castrillo de Don Juan;34050; Castrillo de Don Juan
47038 Castrillo de Duero;47038; Castrillo de Duero
49040 Castrillo de la Guareña;49040; Castrillo de la Guareña
09084 Castrillo de la Reina;09084; Castrillo de la Reina
24044 Castrillo de la Valduerna;24044; Castrillo de la Valduerna
09085 Castrillo de la Vega;09085; Castrillo de la Vega
34051 Castrillo de Onielo;34051; Castrillo de Onielo
09088 Castrillo de Riopisuerga;09088; Castrillo de Riopisuerga
34052 Castrillo de Villavega;34052; Castrillo de Villavega
09086 Castrillo del Val;09086; Castrillo del Val
09090 Castrillo Mota de Judíos;09090; Castrillo Mota de Judíos
33016 Castrillón;33016; Castrillón
47039 Castrillo-Tejeriego;47039; Castrillo-Tejeriego
32023 Castro Caldelas;32023; Castro Caldelas
04033 Castro de Filabres;04033; Castro de Filabres
40047 Castro de Fuentidueña;40047; Castro de Fuentidueña
27010 Castro de Rei;27010; Castro de Rei
14019 Castro del Río;14019; Castro del Río
47040 Castrobol;47040; Castrobol
24046 Castrocalbón;24046; Castrocalbón
24047 Castrocontrigo;24047; Castrocontrigo
47041 Castrodeza;47041; Castrodeza
49041 Castrogonzalo;49041; Castrogonzalo
09091 Castrojeriz;09091; Castrojeriz
40048 Castrojimeno;40048; Castrojimeno
47042 Castromembibre;47042; Castromembibre
34053 Castromocho;34053; Castromocho
47043 Castromonte;47043; Castromonte
49042 Castronuevo;49042; Castronuevo
47044 Castronuevo de Esgueva;47044; Castronuevo de Esgueva
47045 Castronuño;47045; Castronuño
24049 Castropodame;24049; Castropodame
33017 Castropol;33017; Castropol
47046 Castroponce;47046; Castroponce
40049 Castroserna de Abajo;40049; Castroserna de Abajo
40051 Castroserracín;40051; Castroserracín
24050 Castrotierra de Valmadrigal;24050; Castrotierra de Valmadrigal
39020 Castro-Urdiales;39020; Castro-Urdiales
27011 Castroverde;27011; Castroverde
49043 Castroverde de Campos;49043; Castroverde de Campos
47047 Castroverde de Cerrato;47047; Castroverde de Cerrato
26044 Castroviejo;26044; Castroviejo
06036 Castuera;06036; Castuera
46093 Catadau;46093; Catadau
46094 Catarroja;46094; Catarroja
12042 Catí;12042; Catí
43043 Catllar, El;43043; Catllar, El
36010 Catoira;36010; Catoira
03055 Catral;03055; Catral
02025 Caudete;02025; Caudete
46095 Caudete de las Fuentes;46095; Caudete de las Fuentes
12043 Caudiel;12043; Caudiel
25071 Cava;25071; Cava
09063 Cavia;09063; Cavia
09093 Cayuela;09093; Cayuela
45045 Cazalegas;45045; Cazalegas
23027 Cazalilla;23027; Cazalilla
41032 Cazalla de la Sierra;41032; Cazalla de la Sierra
23028 Cazorla;23028; Cazorla
49044 Cazurra;49044; Cazurra
24051 Cea;24051; Cea
24052 Cebanico;24052; Cebanico
45046 Cebolla;45046; Cebolla
09094 Cebrecos;09094; Cebrecos
05057 Cebreros;05057; Cebreros
24053 Cebrones del Río;24053; Cebrones del Río
10061 Ceclavín;10061; Ceclavín
15022 Cedeira;15022; Cedeira
10062 Cedillo;10062; Cedillo
40052 Cedillo de la Torre;40052; Cedillo de la Torre
45047 Cedillo del Condado;45047; Cedillo del Condado
44074 Cedrillas;44074; Cedrillas
15023 Cee;15023; Cee
30017 Cehegín;30017; Cehegín
47048 Ceinos de Campos;47048; Ceinos de Campos
09095 Celada del Camino;09095; Celada del Camino
44075 Celadas;44075; Celadas
32024 Celanova;32024; Celanova
44076 Cella;44076; Cella
17189 Cellera de Ter, La;17189; Cellera de Ter, La
26045 Cellorigo;26045; Cellorigo
17049 Celrà;17049; Celrà
31193 Cendea de Olza/Oltza Zendea;31193; Cendea de Olza/Oltza Zendea
19080 Cendejas de Enmedio;19080; Cendejas de Enmedio
19081 Cendejas de la Torre;19081; Cendejas de la Torre
18047 Cenes de la Vega;18047; Cenes de la Vega
26046 Cenicero;26046; Cenicero
28037 Cenicientos;28037; Cenicientos
02026 Cenizate;02026; Cenizate
32025 Cenlle;32025; Cenlle
08067 Centelles;08067; Centelles
19082 Centenera;19082; Centenera
42059 Centenera de Andaluz;42059; Centenera de Andaluz
37098 Cepeda;37098; Cepeda
05058 Cepeda la Mora;05058; Cepeda la Mora
42060 Cerbón;42060; Cerbón
15024 Cerceda;15024; Cerceda
28038 Cercedilla;28038; Cercedilla
08268 Cercs;08268; Cercs
46096 Cerdà;46096; Cerdà
08266 Cerdanyola del Vallès;08266; Cerdanyola del Vallès
36011 Cerdedo;36011; Cerdedo
36902 Cerdedo-Cotobade;36902; Cerdedo-Cotobade
15025 Cerdido;15025; Cerdido
37099 Cereceda de la Sierra;37099; Cereceda de la Sierra
49046 Cerecinos de Campos;49046; Cerecinos de Campos
49047 Cerecinos del Carrizal;49047; Cerecinos del Carrizal
37100 Cerezal de Peñahorcada;37100; Cerezal de Peñahorcada
10063 Cerezo;10063; Cerezo
40053 Cerezo de Abajo;40053; Cerezo de Abajo
40054 Cerezo de Arriba;40054; Cerezo de Arriba
09098 Cerezo de Río Tirón;09098; Cerezo de Río Tirón
49048 Cernadilla;49048; Cernadilla
44077 Cerollera, La;44077; Cerollera, La
37101 Cerralbo;37101; Cerralbo
45048 Cerralbos, Los;45048; Cerralbos, Los
09100 Cerratón de Juarros;09100; Cerratón de Juarros
21023 Cerro de Andévalo, El;21023; Cerro de Andévalo, El
37102 Cerro, El;37102; Cerro, El
27012 Cervantes;27012; Cervantes
34055 Cervatos de la Cueza;34055; Cervatos de la Cueza
08068 Cervelló;08068; Cervelló
25072 Cervera;25072; Cervera
28039 Cervera de Buitrago;28039; Cervera de Buitrago
50079 Cervera de la Cañada;50079; Cervera de la Cañada
45049 Cervera de los Montes;45049; Cervera de los Montes
34056 Cervera de Pisuerga;34056; Cervera de Pisuerga
16073 Cervera del Llano;16073; Cervera del Llano
12044 Cervera del Maestre;12044; Cervera del Maestre
26047 Cervera del Río Alhama;26047; Cervera del Río Alhama
50080 Cerveruela;50080; Cerveruela
25073 Cervià de les Garrigues;25073; Cervià de les Garrigues
17050 Cervià de Ter;17050; Cervià de Ter
47049 Cervillego de la Cruz;47049; Cervillego de la Cruz
27013 Cervo;27013; Cervo
37103 Cespedosa de Tormes;37103; Cespedosa de Tormes
15026 Cesuras;15026; Cesuras
50081 Cetina;50081; Cetina
51001 Ceuta;51001; Ceuta
30018 Ceutí;30018; Ceutí
34057 Cevico de la Torre;34057; Cevico de la Torre
34058 Cevico Navero;34058; Cevico Navero
37114 Chagarcía Medianero;37114; Chagarcía Medianero
22094 Chalamera;22094; Chalamera
05067 Chamartín;05067; Chamartín
32029 Chandrexa de Queixa;32029; Chandrexa de Queixa
27016 Chantada;27016; Chantada
40065 Chañe;40065; Chañe
28051 Chapinería;28051; Chapinería
18059 Chauchina;18059; Chauchina
19103 Checa;19103; Checa
06042 Cheles;06042; Cheles
46107 Chella;46107; Chella
46106 Chelva;46106; Chelva
19104 Chequilla;19104; Chequilla
46108 Chera;46108; Chera
04036 Chercos;04036; Chercos
46109 Cheste;46109; Cheste
22095 Chía;22095; Chía
11015 Chiclana de la Frontera;11015; Chiclana de la Frontera
23029 Chiclana de Segura;23029; Chiclana de Segura
12053 Chilches/Xilxes;12053; Chilches/Xilxes
16023 Chillarón de Cuenca;16023; Chillarón de Cuenca
19106 Chillarón del Rey;19106; Chillarón del Rey
13038 Chillón;13038; Chillón
23030 Chilluévar;23030; Chilluévar
19105 Chiloeches;19105; Chiloeches
18061 Chimeneas;18061; Chimeneas
22096 Chimillas;22096; Chimillas
02029 Chinchilla de Monte-Aragón;02029; Chinchilla de Monte-Aragón
28052 Chinchón;28052; Chinchón
11016 Chipiona;11016; Chipiona
50092 Chiprana;50092; Chiprana
04037 Chirivel;04037; Chirivel
46111 Chiva;46111; Chiva
50093 Chodes;50093; Chodes
12055 Chodos/Xodos;12055; Chodos/Xodos
12056 Chóvar;12056; Chóvar
24065 Chozas de Abajo;24065; Chozas de Abajo
45056 Chozas de Canales;45056; Chozas de Canales
21030 Chucena;21030; Chucena
45057 Chueca;45057; Chueca
46112 Chulilla;46112; Chulilla
16081 Chumillas;16081; Chumillas
18062 Churriana de la Vega;18062; Churriana de la Vega
09101 Ciadoncha;09101; Ciadoncha
26048 Cidamón;26048; Cidamón
42061 Cidones;42061; Cidones
28040 Ciempozuelos;28040; Ciempozuelos
16074 Cierva, La;16074; Cierva, La
39021 Cieza;39021; Cieza
30019 Cieza;30019; Cieza
19086 Cifuentes;19086; Cifuentes
47050 Cigales;47050; Cigales
42062 Cigudosa;42062; Cigudosa
47051 Ciguñuela;47051; Ciguñuela
42063 Cihuela;42063; Cihuela
26049 Cihuri;26049; Cihuri
18048 Cijuela;18048; Cijuela
05059 Cillán;05059; Cillán
09102 Cillaperlata;09102; Cillaperlata
10064 Cilleros;10064; Cilleros
37104 Cilleros de la Bastida;37104; Cilleros de la Bastida
09103 Cilleruelo de Abajo;09103; Cilleruelo de Abajo
09104 Cilleruelo de Arriba;09104; Cilleruelo de Arriba
40055 Cilleruelo de San Mamés;40055; Cilleruelo de San Mamés
39022 Cillorigo de Liébana;39022; Cillorigo de Liébana
24054 Cimanes de la Vega;24054; Cimanes de la Vega
24055 Cimanes del Tejar;24055; Cimanes del Tejar
50082 Cimballa;50082; Cimballa
50083 Cinco Olivas;50083; Cinco Olivas
19087 Cincovillas;19087; Cincovillas
12045 Cinctorres;12045; Cinctorres
31072 Cintruénigo;31072; Cintruénigo
37106 Cipérez;37106; Cipérez
12046 Cirat;12046; Cirat
31074 Cirauqui/Zirauki;31074; Cirauqui/Zirauki
42064 Ciria;42064; Ciria
31075 Ciriza/Ziritza;31075; Ciriza/Ziritza
19088 Ciruelas;19088; Ciruelas
45050 Ciruelos;45050; Ciruelos
09105 Ciruelos de Cervera;09105; Ciruelos de Cervera
19089 Ciruelos del Pinar;19089; Ciruelos del Pinar
26050 Cirueña;26050; Cirueña
42065 Cirujales del Río;42065; Cirujales del Río
05060 Cisla;05060; Cisla
34059 Cisneros;34059; Cisneros
17051 Cistella;17051; Cistella
47052 Cistérniga;47052; Cistérniga
24056 Cistierna;24056; Cistierna
13034 Ciudad Real;13034; Ciudad Real
37107 Ciudad Rodrigo;37107; Ciudad Rodrigo
07015 Ciutadella de Menorca;07015; Ciutadella de Menorca
25074 Ciutadilla;25074; Ciutadilla
31076 Cizur;31076; Cizur
50084 Clarés de Ribota;50084; Clarés de Ribota
25075 Clariana de Cardener;25075; Clariana de Cardener
26051 Clavijo;26051; Clavijo
33018 Coaña;33018; Coaña
04034 Cóbdar;04034; Cóbdar
45051 Cobeja;45051; Cobeja
28041 Cobeña;28041; Cobeña
19090 Cobeta;19090; Cobeta
45052 Cobisa;45052; Cobisa
34060 Cobos de Cerrato;34060; Cobos de Cerrato
40056 Cobos de Fuentidueña;40056; Cobos de Fuentidueña
49050 Cobreros;49050; Cobreros
40057 Coca;40057; Coca
37108 Coca de Alba;37108; Coca de Alba
03056 Cocentaina;03056; Cocentaina
50085 Codo;50085; Codo
44080 Codoñera, La;44080; Codoñera, La
40058 Codorniz;40058; Codorniz
50086 Codos;50086; Codos
06037 Codosera, La;06037; Codosera, La
46097 Cofrentes;46097; Cofrentes
47053 Cogeces de Íscar;47053; Cogeces de Íscar
47054 Cogeces del Monte;47054; Cogeces del Monte
19091 Cogollor;19091; Cogollor
09108 Cogollos;09108; Cogollos
18049 Cogollos de Guadix;18049; Cogollos de Guadix
18050 Cogollos de la Vega;18050; Cogollos de la Vega
19092 Cogolludo;19092; Cogolludo
25076 Cogul, El;25076; Cogul, El
29042 Coín;29042; Coín
15027 Coirós;15027; Coirós
17054 Colera;17054; Colera
32026 Coles;32026; Coles
05061 Colilla, La;05061; Colilla, La
39023 Colindres;39023; Colindres
25077 Coll de Nargó;25077; Coll de Nargó
05062 Collado de Contreras;05062; Collado de Contreras
10065 Collado de la Vera;10065; Collado de la Vera
05063 Collado del Mirón;05063; Collado del Mirón
40059 Collado Hermoso;40059; Collado Hermoso
28046 Collado Mediano;28046; Collado Mediano
28047 Collado Villalba;28047; Collado Villalba
34061 Collazos de Boedo;34061; Collazos de Boedo
08069 Collbató;08069; Collbató
43045 Colldejou;43045; Colldejou
08070 Collsuspina;08070; Collsuspina
29043 Colmenar;29043; Colmenar
37109 Colmenar de Montemayor;37109; Colmenar de Montemayor
28043 Colmenar de Oreja;28043; Colmenar de Oreja
28042 Colmenar del Arroyo;28042; Colmenar del Arroyo
28045 Colmenar Viejo;28045; Colmenar Viejo
28044 Colmenarejo;28044; Colmenarejo
18051 Colomera;18051; Colomera
17055 Colomers;17055; Colomers
33019 Colunga;33019; Colunga
22090 Colungo;22090; Colungo
25163 Coma i la Pedra, La;25163; Coma i la Pedra, La
29044 Comares;29044; Comares
39024 Comillas;39024; Comillas
29045 Cómpeta;29045; Cómpeta
25161 Conca de Dalt;25161; Conca de Dalt
40060 Condado de Castilnovo;40060; Condado de Castilnovo
09109 Condado de Treviño;09109; Condado de Treviño
19095 Condemios de Abajo;19095; Condemios de Abajo
19096 Condemios de Arriba;19096; Condemios de Arriba
43046 Conesa;43046; Conesa
03057 Confrides;03057; Confrides
24057 Congosto;24057; Congosto
34062 Congosto de Valdavia;34062; Congosto de Valdavia
19097 Congostrina;19097; Congostrina
11014 Conil de la Frontera;11014; Conil de la Frontera
14020 Conquista;14020; Conquista
10066 Conquista de la Sierra;10066; Conquista de la Sierra
07016 Consell;07016; Consell
43047 Constantí;43047; Constantí
41033 Constantina;41033; Constantina
05064 Constanzana;05064; Constanzana
45053 Consuegra;45053; Consuegra
50087 Contamina;50087; Contamina
09110 Contreras;09110; Contreras
49052 Coomonte;49052; Coomonte
19098 Copernal;19098; Copernal
08071 Copons;08071; Copons
44082 Corbalán;44082; Corbalán
46098 Corbera;46098; Corbera
08072 Corbera de Llobregat;08072; Corbera de Llobregat
43048 Corbera d'Ebre;43048; Corbera d'Ebre
24058 Corbillos de los Oteros;24058; Corbillos de los Oteros
25078 Corbins;25078; Corbins
17057 Corçà;17057; Corçà
47055 Corcos;47055; Corcos
15028 Corcubión;15028; Corcubión
14021 Córdoba;14021; Córdoba
06038 Cordobilla de Lácara;06038; Cordobilla de Lácara
37110 Cordovilla;37110; Cordovilla
34063 Cordovilla la Real;34063; Cordovilla la Real
26052 Cordovín;26052; Cordovín
19099 Corduente;19099; Corduente
31077 Corella;31077; Corella
26053 Corera;26053; Corera
49053 Coreses;49053; Coreses
27014 Corgo, O;27014; Corgo, O
10067 Coria;10067; Coria
41034 Coria del Río;41034; Coria del Río
41035 Coripe;41035; Coripe
